ID,Species,Date
PMLS:1287,Mediaster aequalis,1994-10-23T19:40:00
PMLS:1288,Dermasterias imbricata,1994-10-23T19:40:00
PMLS:1309,Chirolophis decoratus,1994-10-23T19:40:00
